player1	player2	player3	player4	player5
201144	202711	203497	1626220	1628378
101108	203109	1626164	1628969	1629028
201939	203110	203952	1626172	1629673
202689	203095	203944	1629011	1629628
203081	203468	203496	203994	1626181
201145	203115	203932	203999	1628420
202330	203486	1626179	1628970	1630163
203078	203484	203915	1628398	1629655
202685	1627742	1628404	1628984	1630529
203991	203992	1628381	1629027	1629631
201980	202699	203552	203954	1630178
200752	201144	203497	203903	204060
203924	1630165	1630180	1630191	1630595
1628983	1629647	1629652	1630526	1630581
203926	1627749	1627751	1628401	1629640
200768	200782	202710	1628389	1629130
203991	203992	1628381	1628989	1629027
201976	1626156	1626157	1629020	1630162
201142	201933	201935	203925	1628971
203991	1627789	1628381	1628989	1629027
203115	203932	203999	1628420	1629008
201587	202331	202339	202704	1627826
201950	203114	203507	1626171	1628960
1626167	1627734	1627747	1627763	1630537
203500	1628991	1629001	1629630	1630217
1628964	1628976	1630175	1630532	1630591
202699	203552	203954	1629680	1630178
201942	202696	203897	1628366	1629750
1627832	1628384	1629018	1630173	1630567
1628374	1628386	1629636	1630171	1630596
202355	202711	203903	1626220	1628378
203914	1628964	1628976	1630175	1630532
202355	202711	204060	1626220	1628378
1626174	1628464	1629645	1630224	1630256
203500	1626145	1628415	1628991	1630217
202066	202685	1628404	1628984	1629638
201143	203935	1627759	1628369	1629057
203084	203090	1626158	1628368	1630169
201144	203497	203903	204060	1629672
101108	203109	1628969	1629013	1629028
201569	1626174	1629717	1629726	1630256
200746	201142	201935	201988	1627761
201942	202696	203897	1627936	1628366
203078	203484	203915	1626149	1628398
201143	203471	203935	1628369	1629684
202685	1627742	1628984	1629638	1630529
1627783	1627832	1628384	1629018	1630567
203501	203939	204001	1627827	1629029
202324	1628983	1629647	1629652	1630581
203926	1627749	1628401	1629234	1629640
201565	201959	202692	1630167	1630193
203200	1626167	1627734	1627747	1627763
1627783	1627832	1629018	1630173	1630567
201569	1626174	1629645	1630224	1630256
1627783	1627832	1628449	1629018	1630567
201143	203471	203935	1628369	1629057
101108	203109	1626163	1626164	1628969
201942	202696	203897	1629632	1629750
200768	200782	203473	1629130	1629639
203500	1628415	1628991	1629630	1630217
203501	203939	1627827	1628973	1629029
202711	203497	204060	1626220	1628378
203084	1626158	1627741	1628368	1630169
101108	1626164	1628969	1629661	1630188
202330	203486	1626162	1628970	1630163
201569	1626174	1629645	1629726	1630256
101150	201568	203991	1626153	1629629
201942	203897	1627936	1628366	1628396
1627749	1627751	1628401	1629022	1629640
101108	201580	203109	1626164	1628969
203083	1627777	1627788	1629003	1629680
203078	203484	203526	1628398	1629655
200768	200782	203473	1629130	1629216
203200	1626167	1627734	1627763	1630537
1628977	1630165	1630180	1630191	1630595
203468	203503	1626204	1629014	1629642
202692	203095	203944	1629011	1629628
203078	203526	1626149	1628398	1630166
203081	203496	203994	1626181	1629014
202330	1626179	1628970	1629023	1630163
203914	1628964	1628976	1630532	1630591
203471	203935	1627759	1628369	1629057
201142	201933	201935	201988	1628971
202685	1627742	1628404	1628984	1629638
201145	203115	203210	203932	1628420
203084	1626158	1628368	1629002	1630169
1626156	1626157	1629020	1630162	1630183
202331	202339	202694	202704	1627826
201565	202692	1629011	1630167	1630193
1628983	1629652	1630526	1630581	1630598
202685	1628404	1628984	1629638	1630529
201980	202699	203552	203954	1629003
1628374	1628386	1629012	1629636	1630596
201942	202696	203897	1628366	1630172
202709	1626168	1628402	1628977	1630180
2544	201566	202340	1626169	1628370
200768	200782	1628389	1629130	1629639
202331	202704	1627826	1628379	1629611
2546	201566	202340	203076	1629659
1627749	1627751	1628401	1629640	1630170
201588	203114	203507	1626192	1628960
200768	202710	1628997	1629639	1630209
201580	1626164	1626166	1629013	1629661
203994	1626181	1626204	1629014	1629642
202689	203095	203457	203944	1629628
201939	203110	203490	203952	1629673
203081	203994	1626181	1626204	1629642
203081	203469	1626204	1629014	1629642
202696	203897	1627884	1628366	1630245
202711	203497	203903	1626220	1628378
200782	202710	203473	1629130	1629639
201976	1626156	1626157	1630162	1630183
202339	202694	1627826	1628379	1629611
202684	203084	1627741	1628368	1630558
201580	1626166	1628969	1629013	1629661
201950	203114	203507	1626192	1628960
203084	1627745	1628368	1628963	1630169
203488	1628983	1629647	1629652	1630581
201937	1628374	1628386	1629636	1630596
1626156	1626157	1627736	1630162	1630183
203084	1626158	1628368	1628963	1630169
201145	203085	203932	203999	1628420
203200	1626167	1627734	1627747	1630537
203500	203937	1628991	1629630	1630217
202684	203084	1627741	1629002	1630169
1628476	1628977	1630180	1630199	1630568
201976	1626157	1627736	1630162	1630183
200746	201142	201935	201988	1628971
1626168	1628977	1630165	1630180	1630595
203471	203935	1626196	1628369	1629057
203468	203469	1626204	1629014	1629642
203471	203935	1628369	1629057	1629684
201959	202689	203095	203944	1629628
1629633	1629681	1629723	1630214	1630583
201568	1628381	1628989	1629027	1629629
1626162	1628970	1628998	1629667	1630163
202066	202685	1627742	1628984	1630529
203915	1626149	1628988	1630166	1630557
201976	1626157	1627736	1629020	1630162
