GROUP_SET	GROUP_ID	GROUP_NAME	TEAM_ID	TEAM_ABBREVIATION	GP	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	PTS	PLUS_MINUS	GP_RANK	W_RANK	L_RANK	W_PCT_RANK	MIN_RANK	FGM_RANK	FGA_RANK	FG_PCT_RANK	FG3M_RANK	FG3A_RANK	FG3_PCT_RANK	FTM_RANK	FTA_RANK	FT_PCT_RANK	OREB_RANK	DREB_RANK	REB_RANK	AST_RANK	TOV_RANK	STL_RANK	BLK_RANK	BLKA_RANK	PF_RANK	PFD_RANK	PTS_RANK	PLUS_MINUS_RANK
Lineups	-201144-202711-203497-1626220-1628378-	M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell	1610612762	UTA	30	22	8	0.733	480.77166666666665	430	850	0.506	168	408	0.412	199	254	0.783	90	359	449	241	134.0	71	54	39	157	219	1227	134.0	1	2	11114	4113	1	1	1	3078	1	1	3054	1	1	3245	1	1	1	3	11158	1	1	11157	11157	1	1	1
Lineups	-101108-203109-1626164-1628969-1629028-	C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton	1610612756	PHX	23	18	5	0.783	444.15166666666664	409	821	0.498	112	286	0.392	119	143	0.832	71	323	394	253	108.0	70	31	31	166	142	1049	37.0	9	4	10937	3969	2	2	2	4557	2	3	3312	3	4	3015	6	2	2	1	11156	2	5	11150	11158	4	2	24
Lineups	-202689-203095-203944-1629011-1629628-	K. Walker - E. Fournier - J. Randle - M. Robinson - R. Barrett	1610612752	NYK	20	10	10	0.5	363.81166666666667	277	658	0.421	103	293	0.352	93	139	0.669	79	245	324	153	102.0	41	37	33	119	145	750	-114.0	14	23	11141	4704	3	7	5	5545	4	2	3543	6	5	3877	2	8	5	10	11155	11	4	11154	11152	2	7	11158
Lineups	-201145-203115-203932-203999-1628420-	J. Green - W. Barton - A. Gordon - N. Jokic - M. Morris	1610612743	DEN	20	11	9	0.55	361.7916666666667	357	660	0.541	100	235	0.426	113	139	0.813	51	264	315	253	83.0	45	30	35	108	140	927	103.0	14	20	11128	4691	4	3	4	2834	6	6	3009	4	5	3057	13	4	8	1	11150	8	7	11156	11151	5	3	3
Lineups	-201939-203110-203952-1626172-1629673-	S. Curry - D. Green - A. Wiggins - K. Looney - J. Poole	1610612744	GSW	29	23	6	0.793	346.5966666666667	310	628	0.494	102	266	0.383	107	153	0.699	77	270	347	226	131.0	62	47	31	149	131	829	51.0	2	1	11038	3968	5	5	6	4563	5	5	3347	5	2	3851	3	3	3	4	11157	4	3	11150	11156	6	4	11
Lineups	-202330-203486-1626179-1628970-1630163-	G. Hayward - M. Plumlee - T. Rozier - M. Bridges - L. Ball	1610612766	CHA	27	16	11	0.593	335.68833333333333	311	675	0.461	105	274	0.383	69	101	0.683	74	254	328	207	83.0	66	21	26	131	102	796	11.0	4	7	11144	4640	6	4	3	4891	3	4	3350	14	12	3872	4	6	4	5	11150	3	17	11149	11154	9	5	371
Lineups	-202685-1627742-1628404-1628984-1630529-	J. Valanciunas - B. Ingram - J. Hart - D. Graham - H. Jones	1610612740	NOP	21	12	9	0.571	332.045	284	596	0.477	71	199	0.357	124	153	0.81	69	255	324	181	85.0	57	24	34	146	143	763	70.0	11	14	11128	4645	7	6	7	4659	9	11	3525	2	2	3070	9	5	5	6	11153	5	13	11155	11155	3	6	7
Lineups	-203078-203484-203915-1628398-1629655-	B. Beal - K. Caldwell-Pope - S. Dinwiddie - K. Kuzma - D. Gafford	1610612764	WAS	26	12	14	0.462	318.8516666666667	257	586	0.439	62	213	0.291	90	111	0.811	70	250	320	154	94.0	44	51	32	119	109	666	-39.0	5	14	11157	5824	8	8	8	5224	12	8	4486	8	7	3068	8	7	7	9	11154	9	2	11153	11152	7	8	11148
Lineups	-203081-203468-203496-203994-1626181-	D. Lillard - C. McCollum - R. Covington - J. Nurkic - N. Powell	1610612757	POR	17	9	8	0.529	274.2133333333333	249	531	0.469	85	229	0.371	77	107	0.72	56	208	264	158	68.0	50	31	22	90	102	660	7.0	27	44	11114	4701	9	9	10	4750	7	7	3444	11	10	3761	11	9	9	8	11148	6	5	11144	11149	9	9	841
Lineups	-203926-1627749-1627751-1628401-1629640-	D. McDermott - D. Murray - J. Poeltl - D. White - K. Johnson	1610612759	SAS	21	9	12	0.429	260.67333333333335	242	539	0.449	63	195	0.323	71	98	0.724	73	187	260	175	52.0	41	26	25	84	87	618	12.0	11	44	11152	5839	10	10	9	5049	11	12	4358	13	14	3755	5	11	10	7	11137	11	12	11146	11146	13	10	321
Lineups	-1628983-1629647-1629652-1630526-1630581-	S. Gilgeous-Alexander - D. Bazley - L. Dort - J. Robinson-Earl - J. Giddey	1610612760	OKC	24	8	16	0.333	250.56	190	473	0.402	55	203	0.271	65	79	0.823	43	191	234	107	67.0	48	28	46	74	73	500	-97.0	7	65	11158	5986	11	13	11	5703	15	10	4633	15	17	3025	18	10	12	16	11147	7	10	11158	11139	19	15	11157
Lineups	-203924-1630165-1630180-1630191-1630595-	J. Grant - K. Hayes - S. Bey - I. Stewart - C. Cunningham	1610612765	DET	15	4	11	0.267	231.86666666666667	169	441	0.383	55	161	0.342	61	74	0.824	71	159	230	108	80.0	32	27	31	105	67	454	-88.0	46	299	11144	6349	12	17	12	6222	15	14	3567	17	20	3020	6	15	13	15	11149	15	11	11150	11150	23	17	11155
Lineups	-200752-201144-203497-203903-204060-	R. Gay - M. Conley - R. Gobert - J. Clarkson - J. Ingles	1610612762	UTA	25	19	6	0.76	226.345	188	416	0.452	80	208	0.385	91	110	0.827	59	179	238	112	66.0	26	20	12	75	103	547	85.0	6	3	11038	3978	13	14	13	5019	8	9	3322	7	9	3018	10	12	11	14	11146	26	20	11112	11141	8	11	5
