PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
Devonte' Graham	https://cdn.nba.com/headshots/nba/latest/1040x760/1628984.png	NOP	0	1	1	1	3	3	4	4	5	5	7	10	10	10	14	14	14	14	14	14	15	15	16	16	18	19	19	19	19	19	19	19	19	19	19	19	19	21	22	22	25	25	27	27	27	27	28	28	28	29	29	29	29	30	30	30	31	31	34	34	34	34	35	35	35	35	36	36	36	36	36	36	37	37	37	37	37	38	38	38	38	38	39	39	39	39	41	41	43	43	43	43	43	43	43	44	44	44	44	45	45	45	45	46	46	46	46	46	46	46	47	47	50	50	50	50	50	50	50	51	51	51	51	53	53	53	53	53	54	54	55	55	55	58	58	61	61	63	63	63	63	63	65	65	65	66	66	66	67	67	67	67	67	67	67	67	67	67	67	68	68	70	70	71	71
De'Anthony Melton	https://cdn.nba.com/headshots/nba/latest/1040x760/1629001.png	MEM	0	0	0	0	0	3	3	3	5	9	9	11	11	12	12	13	13	14	14	14	16	16	18	18	18	19	19	22	22	22	24	24	24	24	24	24	24	26	26	26	26	27	27	27	27	31	31	33	33	35	37	37	38	38	40	40	41	41	45	45	47	48	48	48	50	50	50	50	50	50	50	50	50	50	50	50	50	51	51	53	54	54	55	55	57	57	57	57	59	59	61	61	61	61	64	64	64	67	67	69	71	71	71	71	72	72	72	73	73	73	76	76	77	77	80	80	80	81	83	83	84	84	86	86	87	87	87	89	89	92	93	93	94	94	94	94	94	94	94	97	97	97	97	97	98	98	98	98	98	98	101	101	101	101	101	101	102	102	102	102	102	102	102	103	103
Gary Trent Jr.	https://cdn.nba.com/headshots/nba/latest/1040x760/1629018.png	TOR	0	3	3	8	9	9	9	9	14	14	16	18	18	22	22	25	25	30	30	30	30	30	30	32	32	35	35	37	37	37	38	38	38	38	38	38	39	41	41	41	41	41	41	43	43	43	44	44	44	46	46	49	49	49	52	55	55	55	55	59	59	59	59	59	59	59	59	59	61	61	61	61	61	61	61	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	64	64	65	65	66	67	67	67	72	72	73	74	74	76	77	77	77	79	79	84	88	88	89	89	89	89	90	90	90	91	92	92	97	98	98	100	100	100	102	102	102	104	104	104	106	106	107	107	109	109	110	110	111	111	111	111	111	111	111	111	113	113	113	113	114	114	117	118	118	119	122	122	122
Jarred Vanderbilt	https://cdn.nba.com/headshots/nba/latest/1040x760/1629020.png	MIN	0	2	2	2	5	5	5	5	6	6	6	6	6	6	6	6	6	7	7	7	7	7	9	9	12	13	13	14	14	16	16	16	19	19	21	21	25	27	28	28	28	28	28	28	29	29	29	30	30	33	33	36	36	39	39	39	40	40	43	43	44	44	44	44	44	44	44	44	44	44	44	45	45	47	48	48	49	49	52	52	54	54	57	57	57	57	57	57	57	57	60	60	60	60	65	65	67	67	70	70	70	72	72	74	74	76	76	76	76	76	76	77	77	78	78	78	78	79	79	79	81	81	81	81	81	81	81	81	83	84	84	85	85	85	85	86	86	86	86	86	88	88	88	89	89	90	90	91	91	92	92	92	92	92	93	93	94	94	95	96	96	99	99	99	99
Robert Williams III	https://cdn.nba.com/headshots/nba/latest/1040x760/1629057.png	BOS	0	3	3	4	4	5	5	5	6	6	6	6	6	6	6	7	9	9	10	10	10	10	12	12	12	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	14	15	15	15	15	15	16	16	16	16	16	16	16	16	16	18	18	18	18	19	19	19	19	21	21	21	21	21	22	24	24	24	24	28	28	28	28	28	28	28	28	28	28	28	30	30	30	30	33	33	33	34	35	35	36	36	38	38	38	38	40	40	41	41	41	43	43	43	43	43	43	43	43	43	43	44	44	45	45	48	48	48	50	50	50	51	51	52	52	52	52	52	52	52	52	52	53	53	53	55	55	55	55	56	56	56	56	56	56	56	56	56	56	56	56	56	56
Ja Morant	https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png	MEM	0	0	0	0	1	4	4	4	5	9	9	11	11	12	12	15	15	15	15	15	16	16	19	19	21	22	22	23	23	23	24	24	25	25	27	27	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	32	32	32	33	33	33	35	35	37	37	37	37	37	37	39	39	39	39	39	40	40	40	40	40	42	42	42	43	43	43	43	45	45	46	46	46	48	48	49	50	50	51	51	54	54	54	54	54	54	55	55	56	56	56	56	56	56	56	56	58	58	59	59	59	59	59	59	59	60	62	62	64	64	64	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66
Nickeil Alexander-Walker	https://cdn.nba.com/headshots/nba/latest/1040x760/1629638.png	NOP	0	1	1	5	7	7	8	8	8	8	9	9	9	9	11	12	12	12	12	12	13	13	15	15	15	17	17	18	18	19	19	19	20	20	20	20	21	21	22	22	23	23	24	24	24	24	24	24	24	25	25	27	27	29	29	29	30	30	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	32	33	33	33	33	33	33	33	34	34	34	34	35	35	35	35	35	35	35	35	35	36	36	36	36	36	36	36	37	39	39	39	40	40	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	43	43	44	44	44	44	44	44	44	44	44	44	44	44	44	45	45	45	45	45	46	46	46	46	46
Jordan Nwora	https://cdn.nba.com/headshots/nba/latest/1040x760/1629670.png	MIL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	8	8	10	10	10	10	10	11	13	13	13	13	13	13	13	13	13	13	13	13	14	14	14	14	14	16	16	16	18	18	18	18	18	18	18	18	18	19	19	19	19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	21	21	21	21	22	23	23	23	23	23	23	23	23	23	23	23	24	24	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
Jordan Poole	https://cdn.nba.com/headshots/nba/latest/1040x760/1629673.png	GSW	1	1	2	2	2	5	5	5	5	6	6	7	7	7	7	11	11	11	11	12	14	14	15	15	18	18	19	19	19	19	20	20	20	20	20	20	20	20	20	21	21	23	23	23	24	24	24	25	25	28	28	28	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	33	33	34	34	34	34	34	35	35	37	37	37	37	39	39	40	40	40	40	40	41	41	43	43	44	44	44	44	44	44	44	46	46	47	47	48	50	50	50	50	51	51	53	53	55	55	55	55	55	55	55	55	55	55	55	58	58	58	59	59	59	59	59	59	59	60	60	60	60
Matisse Thybulle	https://cdn.nba.com/headshots/nba/latest/1040x760/1629680.png	PHI	0	4	4	5	5	6	6	7	7	10	10	14	14	17	17	20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	22	22	25	25	28	28	31	31	31	31	32	32	32	32	32	33	33	34	35	35	35	35	37	37	38	40	40	40	40	43	43	43	44	44	46	46	46	46	49	49	49	49	49	49	49	49	51	51	51	54	54	54	54	59	59	59	59	59	59	59	59	59	59	59	61	61	65	65	65	65	66	66	66	66	67	67	67	67	68	68	68	71	77	77	77	77	77	77	77	80	80	83	83	83	83	83	83	84	84	84	84	84	84	84	84	85	91	91	91	91	93	93	96	96	96	98	98	101	101	101	101	103	103	106	106	109	111	112	112	112	112	114	115
Anthony Edwards	https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png	MIN	0	1	1	1	2	2	3	3	4	4	4	4	4	6	6	9	9	11	11	11	14	14	16	16	17	17	17	18	18	18	20	20	20	20	23	23	26	27	30	30	33	33	34	34	37	37	37	39	39	40	40	42	42	43	43	43	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	45	46	46	51	51	52	52	54	54	55	55	56	56	56	57	57	59	59	59	59	59	61	61	64	64	65	69	69	70	70	70	70	71	71	71	73	73	74	74	74	74	74	78	78	79	79	79	79	80	80	80	84	84	84	84	84	84	84	84	84	86	86	87	90	90	91	91	93	93	93	96	96	96	96	97	97	98	98	99	99	99	100	100	101	101	103	103	103	104	104	104	105
LaMelo Ball	https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png	CHA	0	2	2	7	7	7	7	7	10	10	10	10	11	13	13	17	17	17	17	20	21	21	23	23	28	28	31	31	31	33	33	34	36	36	39	39	39	40	41	41	43	43	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	47	47	49	49	49	49	53	53	53	55	55	56	56	56	56	56	56	56	57	57	57	58	58	58	58	59	59	62	62	62	62	62	62	62	62	62	62	62	63	64	64	65	65	67	67	67	69	69	69	69	69	73	73	77	77	81	82	82	82	83	83	83	83	84	84	85	86	86	88	88	88	88	88	88	90	90	90	93	93	93	95	95	96	96	96	100	100	100	100	101	101	103	103	106	108	108	111	111	111	113	113	114	114	118	118	118	119
Tyrese Haliburton	https://cdn.nba.com/headshots/nba/latest/1040x760/1630169.png	SAC	0	1	1	4	4	4	4	4	6	6	6	6	6	6	7	11	11	12	12	15	15	15	15	15	15	15	15	17	17	19	19	22	26	26	27	27	30	35	35	35	35	37	37	37	37	39	39	39	39	42	42	44	44	44	45	45	48	48	48	48	50	53	53	56	56	56	59	59	60	60	60	61	61	61	61	61	64	64	64	64	66	69	69	71	71	71	71	71	71	71	71	71	71	72	72	72	73	75	75	75	78	78	78	78	82	84	84	86	86	86	86	86	86	89	89	90	90	94	95	95	95	97	97	98	100	100	103	103	104	104	107	107	109	109	109	109	112	113	113	114	114	114	116	116	116	116	116	119	120	120	120	120	122	122	126	126	129	129	129	131	131	131	131	132	134
Jaden McDaniels	https://cdn.nba.com/headshots/nba/latest/1040x760/1630183.png	MIN	0	4	4	4	4	4	5	5	5	5	5	5	5	7	7	8	8	8	8	8	9	9	10	10	10	12	12	12	12	13	14	14	16	16	17	17	18	18	19	19	19	19	19	19	19	19	19	20	20	22	22	22	22	22	22	22	25	25	25	25	25	25	27	27	28	28	28	29	30	30	30	30	30	31	31	31	31	31	31	31	31	31	31	31	31	31	31	33	33	34	35	35	35	35	35	35	37	37	38	39	39	39	39	39	39	39	39	39	39	39	39	40	40	40	40	41	41	45	46	46	46	47	47	47	47	47	47	47	49	49	49	49	49	50	50	50	50	50	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	52
Herbert Jones	https://cdn.nba.com/headshots/nba/latest/1040x760/1630529.png	NOP	0	0	0	1	1	1	3	3	3	3	5	8	8	8	9	9	9	9	9	9	9	9	11	11	13	13	13	13	13	15	15	16	18	18	18	18	22	25	29	29	31	31	32	32	33	33	34	34	34	35	35	35	35	37	37	37	37	37	38	38	38	38	38	38	39	39	40	40	40	40	40	40	43	43	47	48	48	53	53	53	54	54	54	54	57	57	57	57	59	59	59	62	62	62	62	63	64	64	64	69	69	69	70	71	71	71	73	73	74	74	77	77	78	78	80	80	80	81	81	81	81	84	84	87	87	87	89	89	92	92	95	95	96	96	96	97	97	98	98	101	101	101	102	102	106	108	108	108	110	110	112	118	118	118	122	122	123	123	124	128	128	128	128	130	130
Alperen Sengun	https://cdn.nba.com/headshots/nba/latest/1040x760/1630578.png	HOU	0	3	3	4	4	7	7	9	9	12	12	12	15	15	16	16	17	17	17	17	17	17	17	17	17	17	17	18	18	18	18	18	18	18	20	20	21	21	21	21	22	22	24	24	24	24	25	25	25	25	25	26	27	27	28	28	30	30	30	30	30	31	31	31	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	33	33	33	34	34	34	34	34	34	34	36	36	37	37	37	37	37	37	37	37	38	38	40	40	40	41	41	41	41	43	45	45	46	46	46	46	46	48	48	49	49	49	49	49	52	52	52	52	53	54	54	56	56	58	58	58	58	58	58	58	58	58	58	58	58	58	59	59	59
